EMPLOYER_NAME,NAICS_CODE,EMPLOYER_STATE,YEAR,QUARTER,TOTAL_CASES,TOTAL_WORKERS,AVG_SALARY,MAX_SALARY,APPROVAL_RATE
"TRINETX, LLC",513210,MA,2025,Q2,1,1,123000.000000,123000,100.00
ODE VENTURES LLC,523910,OH,2025,Q2,2,2,101000.000000,101000,50.00
"SAFDIE ARCHITECTS, LLC",541310,MA,2025,Q2,1,1,76378.000000,76378,100.00
"CONDUIT CONSULTANCY SERVICES, LLC.",541511,CO,2025,Q2,1,1,111360.000000,111360,100.00
LAS VEGAS SANDS CORP.,721120,NV,2025,Q2,1,1,200000.000000,200000,100.00
"ACBEL (USA) POLYTECH, INC.",33441,NC,2025,Q2,1,1,60843.000000,60843,100.00
"PRODEGE, LLC",541613,CA,2025,Q2,1,1,151549.000000,151549,100.00
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,611310,PA,2025,Q2,1,1,93419.000000,93419,100.00
"BIG, NFP",8134,IL,2025,Q2,1,1,100000.000000,100000,0.00
"LINKSTALKER, INC.",541810,DE,2025,Q2,1,1,10000.000000,10000,0.00
PACIFIC ENGINEERING AND RISK CONSULTING GROUP INC,541330,CA,2025,Q2,1,1,91354.000000,91354,100.00
"BON SECOURS MEDICAL GROUP RICHMOND PRIMARY CARE, LLC",621111,VA,2025,Q2,1,1,130790.000000,130790,100.00
SPRINGWORKS THERAPEUTICS OPERATING COMPANY,325412,CT,2025,Q2,1,1,145000.000000,145000,100.00
MAPSITSOLUTIONS LLC,541519,TX,2025,Q2,1,1,106558.000000,106558,100.00
MIRANI BAGDAI THAKKAR ASSOCIATES LLC,541211,NJ,2025,Q2,1,1,128000.000000,128000,100.00
VIETNAMESE ASSOCIATION OF ILLINOIS,813410,IL,2025,Q2,1,1,75000.000000,75000,100.00
PUNCHH INC.,511210,TX,2025,Q2,1,1,136989.000000,136989,100.00
"AUTOMATED BUSINESS DESIGNS, INC.",511210,IL,2025,Q2,1,1,210000.000000,210000,100.00
SMITH-KARNG ARCHITECTURE INC.,541310,CA,2025,Q2,1,1,105000.000000,105000,100.00
VIEW OPERATING CORPORATION,334413,CA,2025,Q2,1,1,148699.000000,148699,100.00
LIBERTY RECYCLING LLC,423510,FL,2025,Q2,1,1,146328.000000,146328,100.00
FREIGHTLINER CUSTOM CHASSIS CORPORATION,336120,SC,2025,Q2,1,1,123963.000000,123963,100.00
INSTASECURE INC,541511,CA,2025,Q2,1,1,100.000000,100,100.00
"ANGSTROM ELECTRIC, LLC",336350,MI,2025,Q2,1,1,87600.000000,87600,100.00
"YR US MANAGEMENT, LLC",459110,CA,2025,Q2,1,1,80000.000000,80000,100.00
TECHNOLOGY VENTURES LLC,541511,VA,2025,Q2,1,1,135000.000000,135000,100.00
CONQUEST CONSULTING LLC,541511,TX,2025,Q2,1,1,108826.000000,108826,100.00
ARIELA & ASSOCIATES INTERNATIONAL LLC,315250,NY,2025,Q2,1,1,82763.000000,82763,100.00
FRONTIER SCIENCE AND TECHNOLOGY RESEARCH FOUNDATION INC.,541715,NY,2025,Q2,1,1,96010.000000,96010,100.00
GOCOOL INC.,541511,WA,2025,Q2,2,2,131206.500000,151778,100.00
HENSEL PHELPS CONSTRUCTION CO.,236220,GU,2025,Q2,1,1,63600.000000,63600,100.00
"ANCORE, LLC",541611,TN,2025,Q2,1,1,125000.000000,125000,100.00
"NEW BELGIUM BREWING COMPANY, INC.",312120,CO,2025,Q2,1,1,110000.000000,110000,100.00
9THNETWORKS INC.,541511,NH,2025,Q2,1,1,100383.000000,100383,100.00
PREMIER LIFE SCIENCES,541511,NJ,2025,Q2,1,1,39.000000,39,100.00
"NETVISION RESOURCES, INC",541511,VA,2025,Q2,1,1,110000.000000,110000,100.00
"DAS TECHNOLOGY SERVICES, LLC.",541511,TX,2025,Q2,1,1,149932.000000,149932,100.00
SONICJOBS INC,518210,CA,2026,Q1,1,1,140000.000000,140000,100.00
POTENTUM PARTNERS L.P.,523910,NJ,2026,Q1,3,3,135000.000000,135000,100.00
"TITLE21 SOFTWARE, INC.",511210,AZ,2026,Q1,1,1,104500.000000,104500,100.00
"DATAMTX, LLC",541511,GA,2026,Q1,1,1,112923.000000,112923,100.00
"OSCEOLA STAFFING HOLDINGS, LLC",541512,TX,2026,Q1,1,1,88000.000000,88000,100.00
DYNPRO INC.,541512,NC,2026,Q1,1,1,142000.000000,142000,100.00
NINYO & MOORE GEOTECHNICAL & ENVIROMENTAL SCIENCES CONSULTANTS,541330,CA,2026,Q1,1,1,125000.000000,125000,100.00
MANUS BIO INC.,54171,GA,2026,Q1,1,1,100838.000000,100838,100.00
"FOURKITES, INC.",541614,IL,2026,Q1,1,1,182886.000000,182886,100.00
HUMANE AMERICA ANIMAL FOUNDATION,813312,CA,2026,Q1,1,1,79.000000,79,100.00
HIGHSPRING LLC,541611,TN,2026,Q1,1,1,90000.000000,90000,100.00
"HUSQVARNA PROFESSIONAL PRODUCTS, INC.",333243,NC,2026,Q1,3,3,100333.333333,108000,100.00
MURMURATION RESEARCH INSTITUTE INC.,541720,NY,2026,Q1,1,1,193104.000000,193104,100.00
NORTHMARQ MULTIFAMILY LLC,531210,MN,2026,Q1,1,1,70886.000000,70886,100.00
PRN SOFTWARE LLC,541511,MA,2026,Q1,1,1,90200.000000,90200,100.00
CITRIN COOPERMAN ADVISORS LLC,541611,NY,2026,Q1,1,1,148000.000000,148000,100.00
